  ip           p            cd           tb           mr           cap
  82.8520      146.300      3.15000      3.54000      7.06000      82.1000    
  82.9130      146.700      3.43000      3.87000      7.15250      82.0000    
  83.6430      147.100      3.77000      4.32000      7.67500      82.6000    
  84.1230      147.200      4.01000      4.82000      8.31600      82.9000    
  84.5940      147.500      4.51000      5.31000      8.59750      83.1000    
  85.1640      147.900      4.52000      5.27000      8.39750      83.5000    
  85.3110      148.400      4.73000      5.48000      8.61200      83.4000    
  85.7750      149.000      4.81000      5.56000      8.51250      83.6000    
  85.8790      149.300      5.03000      5.76000      8.64000      83.4000    
  86.5590      149.400      5.51000      6.11000      8.92500      83.8000    
  87.0910      149.800      5.79000      6.54000      9.17000      84.1000    
  88.0430      150.100      6.29000      7.14000      9.19800      84.7000    
  88.4510      150.500      6.24000      7.05000      9.14750      84.8000    
  88.5420      150.900      6.16000      6.70000      8.82750      84.5000    
  88.5480      151.200      6.15000      6.43000      8.46200      84.2000    
  88.4260      151.800      6.11000      6.27000      8.32000      83.7000    
  88.6540      152.100      6.02000      6.00000      7.95500      83.6000    
  88.9850      152.400      5.90000      5.64000      7.56600      83.6000    
  88.6460      152.600      5.77000      5.59000      7.60750      82.9000    
  89.8470      152.900      5.77000      5.75000      7.86000      83.6000    
  90.2220      153.100      5.73000      5.62000      7.63600      83.6000    
  90.0040      153.500      5.79000      5.59000      7.47500      83.0000    
  90.3910      153.700      5.74000      5.43000      7.37750      83.0000    
  90.7760      153.900      5.62000      5.31000      7.20000      82.9000    
  90.0930      154.700      5.39000      5.09000      7.03000      81.9000    
  91.3190      155.000      5.15000      4.94000      7.07500      82.6000    
  91.0990      155.500      5.29000      5.34000      7.62400      82.0000    
  91.9220      156.100      5.36000      5.54000      7.92500      82.4000    
  92.5270      156.400      5.36000      5.64000      8.07000      82.5000    
  93.3560      156.700      5.46000      5.81000      8.32000      82.9000    
  93.3280      157.000      5.53000      5.85000      8.24500      82.5000    
  93.9100      157.200      5.40000      5.67000      8.00200      82.6000    
  94.4600      157.700      5.51000      5.83000      8.23000      82.7000    
  94.5790      158.200      5.41000      5.55000      7.91500      82.4000    
  95.4690      158.700      5.38000      5.42000      7.61800      82.8000    
  96.0640      159.100      5.44000      5.47000      7.59750      83.0000    
  96.3400      159.400      5.43000      5.61000      7.82400      82.9000    
  97.6870      159.700      5.37000      5.53000      7.65000      83.6000    
  98.0710      159.800      5.53000      5.80000      7.89750      83.6000    
  98.5160      159.900      5.71000      5.99000      8.14250      83.6000    
  98.8830      159.900      5.70000      5.87000      7.94400      83.5000    
  99.3520      160.200      5.66000      5.69000      7.69000      83.5000    
  99.7610      160.400      5.60000      5.54000      7.49750      83.4000    
  100.780      160.800      5.60000      5.56000      7.48000      83.8000    
  101.667      161.200      5.60000      5.52000      7.43000      84.1000    
  102.485      161.500      5.65000      5.46000      7.29400      84.3000    
  103.094      161.700      5.74000      5.46000      7.20500      84.3000    
  103.365      161.800      5.80000      5.53000      7.09500      84.0000    
  103.830      162.000      5.54000      5.24000      6.99400      83.9000    
  104.098      162.000      5.54000      5.31000      7.04250      83.6000    
  104.416      162.000      5.58000      5.39000      7.12750      83.4000    
  105.032      162.200      5.58000      5.38000      7.14000      83.4000    
  105.536      162.600      5.59000      5.44000      7.14400      83.4000    
  105.029      162.800      5.60000      5.41000      6.99750      82.5000    
  104.903      163.100      5.59000      5.36000      6.95200      82.0000    
  106.748      163.400      5.58000      5.21000      6.92250      83.0000    
  106.555      163.500      5.41000      4.71000      6.72250      82.5000    
  107.278      163.900      5.21000      4.12000      6.71000      82.7000    
  106.977      164.100      5.24000      4.53000      6.86500      82.1000    
  107.064      164.500      5.14000      4.52000      6.71500      81.9000    
  107.811      164.800      4.89000      4.51000      6.79400      82.1000    
  108.181      164.700      4.90000      4.70000      6.80750      82.1000    
  108.648      164.900      4.91000      4.78000      7.04000      82.2000    
  108.876      165.900      4.88000      4.69000      6.91600      82.1000    
  109.447      166.000      4.92000      4.85000      7.14500      82.3000    
  109.578      166.000      5.13000      5.10000      7.55000      82.1000    
  110.316      166.600      5.24000      5.03000      7.63200      82.4000    
  110.817      167.100      5.41000      5.20000      7.94250      82.5000    
  110.737      167.700      5.50000      5.25000      7.82250      82.2000    
  111.688      168.100      6.13000      5.43000      7.85200      82.6000    
  112.343      168.400      6.00000      5.55000      7.73750      82.8000    
  113.125      168.900      6.05000      5.84000      7.91200      83.1000    
  113.200      169.300      5.95000      6.12000      8.21000      82.9000    
  113.947      170.000      6.01000      6.22000      8.32500      83.1000    
  114.446      171.000      6.14000      6.22000      8.24000      83.1000    
  115.299      171.000      6.28000      6.15000      8.15250      83.4000    
  115.982      171.200      6.71000      6.33000      8.51500      83.6000    
  116.202      172.200      6.73000      6.17000      8.28800      83.5000    
  115.926      172.600      6.67000      6.08000      8.14750      83.0000    
  115.667      172.700      6.61000      6.18000      8.02750      82.5000    
  116.071      173.600      6.60000      6.13000      7.91200      82.5000    
  115.631      173.900      6.67000      6.01000      7.79500      81.9000    
  115.506      174.200      6.65000      6.09000      7.74500      81.6000    
  115.144      174.600      6.45000      5.60000      7.38200      81.1000    
  114.196      175.600      5.62000      4.81000      7.03250      80.2000    
  113.622      176.000      5.26000      4.68000      7.05000      79.6000    
  113.075      176.100      4.89000      4.30000      6.95200      79.0000    
  112.550      176.600      4.53000      3.98000      7.07750      78.5000    
  111.847      177.400      4.02000      3.78000      7.14500      77.9000    
  111.145      177.800      3.74000      3.58000      7.16000      77.2000    
  110.996      177.300      3.66000      3.62000      7.12750      77.0000    
  110.696      177.400      3.48000      3.47000      6.95000      76.7000    
  109.933      178.100      2.87000      2.82000      6.81750      76.0000    
  109.512      177.600      2.31000      2.33000      6.61750      75.6000    
  108.845      177.500      2.03000      2.18000      6.65800      75.1000    
  108.327      177.300      1.83000      2.22000      7.06500      74.6000    
  108.967      177.600      1.74000      2.16000      6.99750      75.0000    
  109.197      178.000      1.82000      2.23000      6.89250      75.1000    
  109.641      178.600      1.91000      2.57000      7.01400      75.3000    
  110.113      179.500      1.87000      2.48000      6.98500      75.6000    
  110.447      179.500      1.82000      2.35000      6.80600      75.7000    
  110.818      179.700      1.81000      2.20000      6.65000      75.9000    
  111.577      179.900      1.79000      1.96000      6.48500      76.4000    
  111.305      180.500      1.73000      1.76000      6.29000      76.1000    
  111.305      180.800      1.76000      1.72000      6.09250      76.1000    
  110.655      181.300      1.73000      1.65000      6.11250      75.5000    
  110.796      181.500      1.39000      1.49000      6.06800      75.6000    
